timestamp,runtime,episode,mean_reward,temperature
1773743814.858748,8.97362995147705,0,0.1618691919138655,0.099
1773743924.820857,118.93573904037476,1000,0.48596848058514297,0.08953382542587164
1773744035.664452,229.77933311462402,2000,0.4989061364904046,0.08097278682212583
1773744143.8184462,337.93332719802856,3000,0.5640278947539628,0.07323033696543972
1773744249.534443,443.6493239402771,4000,0.5669069522991776,0.06622820409839833
1773744356.6183622,550.733243227005,5000,0.5999385165050626,0.0598956006466161
1773744464.09995,658.2148311138153,6000,0.554155255202204,0.054168507596685365
1773744570.2341728,764.3490538597107,7000,0.5575257549062371,0.0489890273004205
1773744677.646219,871.7611000537872,8000,0.6008207844570279,0.044304798162617266
1773744785.010842,979.1257231235504,9000,0.599708282854408,0.04006846529515407
1773744892.3974268,1086.512307882309,10000,0.5984159917570651,0.03623720178604972
1773744999.250397,1193.3652789592743,11000,0.5921703507192433,0.03277227574378041
1773745108.839488,1302.95437002182,12000,0.5332932758610696,0.029638658739920845
1773745217.5835788,1411.6984598636627,13000,0.5484240077657887,0.026804671691687453
1773745327.209126,1521.324007987976,14000,0.5639094980433583,0.02424166460445806
1773745436.0383658,1630.1532468795776,15000,0.5662618828937411,0.021923726936647268
1773745546.7130182,1740.8278992176056,16000,0.4936666815774515,0.01982742565889147
1773745653.0915,1847.206382036209,17000,0.6086839768104255,0.017931568359471076
1773745759.5480042,1953.6628851890564,18000,0.564188732765615,0.016216989001100673
1773745867.620286,2061.73516702652,19000,0.5462355492636561,0.014666354163210386
1773745977.1201339,2171.2350149154663,20000,0.5458274986594915,0.013263987810938228
1773746088.218921,2282.3338029384613,21000,0.5459708790294826,0.011995712819347802
1773746198.326968,2392.4418489933014,22000,0.5668219355866313,0.01084870765077148
1773746309.196646,2503.3115270137787,23000,0.5670200898312032,0.01
1773746418.774364,2612.889245033264,24000,0.5540237030945718,0.01
1773746527.561955,2721.676837205887,25000,0.5327454474754632,0.01
1773746665.558432,2859.673313140869,26000,0.5441082660108805,0.01
1773746852.8598988,3046.974781036377,27000,0.4915348291397095,0.01
1773747505.072567,3699.1874480247498,28000,0.5509212287142873,0.01
1773748606.487235,4800.602117061615,29000,0.5692659011110663,0.01
1773754191.98167,10386.096551895142,30000,0.4990425012074411,0.01
1773761440.715298,17634.83017897606,31000,0.5101273353211582,0.01
1773769262.8695948,25456.984477043152,32000,0.5371747016906738,0.01
1773781674.831689,37868.94657206535,33000,0.501639885827899,0.01
1773801058.8801239,57252.99500608444,34000,0.531127187423408,0.01
1773810009.521657,66203.63653922081,35000,0.5602021557278931,0.01
1773810123.317995,66317.43287611008,36000,0.4877317976206541,0.01
1773810225.735178,66419.85005903244,37000,0.5374165885150433,0.01
1773810329.346844,66523.46172499657,38000,0.5257073352113366,0.01
1773810432.311635,66626.42651605606,39000,0.5752875469624996,0.01
1773810536.047046,66730.16192793846,40000,0.5277849483536556,0.01
1773810639.532864,66833.64774513245,41000,0.4972470314241946,0.01
1773810741.1344728,66935.24935507774,42000,0.5639450247399509,0.01
1773810843.388708,67037.50358915329,43000,0.5054094430524856,0.01
1773810945.134929,67139.24980998039,44000,0.5260902740992606,0.01
1773811044.909198,67239.0240790844,45000,0.5695962030440569,0.01
1773811146.274134,67340.38901495934,46000,0.48428969900123775,0.01
1773811246.603007,67440.71788811684,47000,0.520199591293931,0.01
1773811346.801544,67540.9164249897,48000,0.5224356125108898,0.01
1773811448.513715,67642.62859606743,49000,0.5888764499686658,0.01
1773811551.234344,67745.34922599792,50000,0.5493605742231011,0.01
