timestamp,runtime,episode,mean_reward,temperature
1773570670.958335,7.177199840545654,0,0.16215185656983522,0.099
1773570782.275342,118.49420690536499,1000,0.5159664610400796,0.08953382542587164
1773570891.545696,227.76456093788147,2000,0.5148448180407286,0.08097278682212583
1773570999.549097,335.76796197891235,3000,0.4853618969209492,0.07323033696543972
1773571105.875963,442.0948278903961,4000,0.5898014241829515,0.06622820409839833
1773571211.3505762,547.5694417953491,5000,0.5684232451021671,0.0598956006466161
1773571317.761379,653.9802439212799,6000,0.5240600546821952,0.054168507596685365
1773571425.57316,761.7920248508453,7000,0.5937410625629127,0.0489890273004205
1773571532.668224,868.8870899677277,8000,0.5663070548325777,0.044304798162617266
1773571638.592433,974.8112978935242,9000,0.5726014168467373,0.04006846529515407
1773571744.295973,1080.5148379802704,10000,0.6384449042379856,0.03623720178604972
1773571849.421616,1185.6404809951782,11000,0.6134780952706933,0.03277227574378041
1773571955.509418,1291.7282829284668,12000,0.5493858832633123,0.029638658739920845
1773572062.155308,1398.374172925949,13000,0.5512088018003851,0.026804671691687453
1773572168.201524,1504.4203889369965,14000,0.5925672304583713,0.02424166460445806
1773572274.473571,1610.6924359798431,15000,0.5410690144635737,0.021923726936647268
1773572379.88512,1716.1039860248566,16000,0.5419323234818876,0.01982742565889147
1773572485.533429,1821.7522938251495,17000,0.5270779454149306,0.017931568359471076
1773572612.48296,1948.7018258571625,18000,0.5298056243918836,0.016216989001100673
1773572783.306848,2119.5257139205933,19000,0.5138417705893517,0.014666354163210386
1773572955.425778,2291.6446437835693,20000,0.5269575682468712,0.013263987810938228
1773573127.923242,2464.1421070098877,21000,0.5753045920282602,0.011995712819347802
1773573309.9769568,2646.195822954178,22000,0.5209874040447176,0.01084870765077148
1773573415.498791,2751.7176558971405,23000,0.47844048868864775,0.01
1773573515.850209,2852.0690739154816,24000,0.5286748455837369,0.01
1773573617.916499,2954.1353647708893,25000,0.552037552697584,0.01
1773573717.8891451,3054.1080100536346,26000,0.4897884097881615,0.01
1773573817.784739,3154.0036039352417,27000,0.5223706616088748,0.01
1773573917.642312,3253.861176967621,28000,0.48076753015629947,0.01
1773574017.33538,3353.554244995117,29000,0.45588218461489305,0.01
1773574118.651078,3454.8699429035187,30000,0.5401226300746202,0.01
1773574218.5812118,3554.8000767230988,31000,0.4896093439310789,0.01
1773574319.98881,3656.2076749801636,32000,0.5465013710781932,0.01
1773574421.7424629,3757.961327791214,33000,0.4548654993996024,0.01
1773574519.99824,3856.217104911804,34000,0.5045275613665581,0.01
1773574617.7119958,3953.9308607578278,35000,0.49948694417253137,0.01
1773574715.309139,4051.5280039310455,36000,0.5150187620893121,0.01
1773574812.45749,4148.676354885101,37000,0.45984641795803327,0.01
1773574910.809977,4247.028841972351,38000,0.4712395714595914,0.01
1773575009.5589252,4345.77779006958,39000,0.4806069734040648,0.01
1773575107.318528,4443.537392854691,40000,0.49291658448055387,0.01
1773575205.2225668,4541.441432952881,41000,0.5424631659407169,0.01
1773575303.706805,4639.925669908524,42000,0.47969181183725595,0.01
1773575401.26954,4737.488404989243,43000,0.5088358926586807,0.01
1773575503.362494,4839.581358909607,44000,0.5089028722140938,0.01
1773575600.8321338,4937.050998687744,45000,0.5065947691909969,0.01
1773575698.533377,5034.752241849899,46000,0.538207343313843,0.01
1773575797.053695,5133.27255988121,47000,0.49240934988483787,0.01
1773575895.364885,5231.583750963211,48000,0.5307495624292642,0.01
1773575992.89461,5329.113474845886,49000,0.5244423886761069,0.01
1773576090.831151,5427.050017118454,50000,0.5574822216294706,0.01
1773576190.520865,5526.7397310733795,51000,0.5430495366454124,0.01
